
ProductName                                 ProductId           PriceId             
-----------                                 ---------           -------             
VirtualTwin Aspirante                       prod_TjRY6nNVIs2q6z price_1SlyfV7141D...
VirtualTwin Conquistatore - Elite Founder   prod_Tiz5WUEE6lkYQu price_1SlX777141D...
VirtualTwin Conquistatore - Genesis Founder prod_Tiz5Opnk7mD8aN price_1SlX727141D...
VirtualTwin Conquistatore - Pioneer Founder prod_Tiz5O3CGaCScdD price_1SlX757141D...
VirtualTwin Conquistatore - Public Q1 2026  prod_Tiz5bQm1xlc6dP price_1SlX7A7141D...
VirtualTwin Conquistatore - Public Q2 2026  prod_Tiz5FYCDdnFRQl price_1SlX7C7141D...
VirtualTwin Conquistatore - Public Q3 2026  prod_Tiz5XAIoCXlexT price_1SlX7F7141D...
VirtualTwin Esploratore - Elite Founder     prod_Tiz52ENn7WamDF price_1SlX767141D...
VirtualTwin Esploratore - Genesis Founder   prod_Tiz5TumrlmoPtk price_1SlX717141D...
VirtualTwin Esploratore - Pioneer Founder   prod_Tiz55YWzG0tkRv price_1SlX747141D...
VirtualTwin Esploratore - Public Q1 2026    prod_Tiz5m3AgJdwxvK price_1SlX787141D...
VirtualTwin Esploratore - Public Q2 2026    prod_Tiz5R7cS1iF7Pu price_1SlX7B7141D...
VirtualTwin Esploratore - Public Q3 2026    prod_Tiz5OR7CUzDjtJ price_1SlX7D7141D...
VirtualTwin Imperatore - Elite Founder      prod_Tiz5DP544zcOoB price_1SlX787141D...
VirtualTwin Imperatore - Genesis Founder    prod_Tiz5t1TPLS6oOV price_1SlX737141D...
VirtualTwin Imperatore - Pioneer Founder    prod_Tiz5W9nAwbPMFl price_1SlX767141D...
VirtualTwin Imperatore - Public Q1 2026     prod_Tiz5sfgINTSoPH price_1SlX7A7141D...
VirtualTwin Imperatore - Public Q2 2026     prod_Tiz5IwENyuiiQy price_1SlX7D7141D...
VirtualTwin Imperatore - Public Q3 2026     prod_Tiz5L3ARFs7quj price_1SlX7F7141D...
VirtualTwin Pioniere - Elite Founder        prod_Tiz5fAdSUKqIQ1 price_1SlX777141D...
VirtualTwin Pioniere - Genesis Founder      prod_Tiz5osD4LE6V4I price_1SlX727141D...
VirtualTwin Pioniere - Pioneer Founder      prod_Tiz531HLrXZKNW price_1SlX747141D...
VirtualTwin Pioniere - Public Q1 2026       prod_Tiz5nRfo7sE3N5 price_1SlX797141D...
VirtualTwin Pioniere - Public Q2 2026       prod_Tiz5KBYMqXbbV5 price_1SlX7C7141D...
VirtualTwin Pioniere - Public Q3 2026       prod_Tiz5eZ5ORR2ZQg price_1SlX7E7141D...



